LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
400000,1,1,1,34,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,2,0,0,0,0,0
78787,1,2,2,34,0,0,0,0,0,0,66122,92131,49693,34646,44332,45440,2096,4300,2781,2000,2610,3758,0
377964,2,1,1,49,1,-2,-2,-1,-1,-1,0,0,2317,7588,7606,14053,0,2317,7588,7192,14053,2689,0
20000,2,2,1,41,-1,-1,-1,-1,-1,-1,2468,839,1140,0,6640,7696,1087,1140,915,7671,800,0,0
70000,2,1,1,36,2,0,0,0,0,0,81719,143103,86287,65287,35345,9360,10008,3000,2774,3000,2389,0,0
79254,1,2,2,24,0,0,0,0,0,0,23553,18617,17827,7655,7881,9864,1700,1672,500,900,500,1000,0
20000,2,2,2,25,-1,-1,-1,-1,0,0,14287,135581,5200,18589,18985,19531,2091,724,18589,1000,1000,861,1
301146,1,1,2,33,-2,-2,-1,-1,0,0,6015,17687,686,430667,121782,119339,8797,691,53023,1009,596,10356,0
20000,2,2,2,23,2,0,0,0,0,0,11995,13324,22069,14308,14625,18245,1528,1233,512,547,3880,0,1
200000,2,1,1,51,-1,-1,-1,-1,-1,-1,935,1418,-2,120,150,169,1418,5,122,915,906,464,1
100000,2,2,1,29,0,0,0,0,0,0,118008,116686,113939,111079,107257,105377,9998,5600,5500,7671,6580,6000,0
20000,1,1,2,40,0,0,0,0,0,0,17026,14711,15462,16004,16203,16916,2093,1300,975,900,960,2826,0
180000,2,1,2,25,1,2,0,0,0,0,41402,41742,49694,43510,44420,40117,1300,1926,1762,953,907,1622,0
196550,1,1,2,29,-1,-2,-2,-2,-2,-1,4358,3160,2611,8710,6637,8758,2093,2618,9332,5142,8766,31158,0
400000,2,3,2,39,0,0,0,-2,-1,0,36560,40330,35106,0,3360,21667,0,1829,0,1757,20000,8385,0
20000,1,1,2,24,2,0,0,0,0,0,17781,17978,19933,17331,19492,19924,2093,1300,390,388,10000,400,1
78805,2,2,1,51,0,0,0,2,0,0,43439,44512,47677,34654,24755,48616,2100,4200,675,2000,2572,2000,0
