LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
400000,1,1,1,34,-2,-2,-2,-2,-2,-2,0,0,0,0,0,92704,3877,0,4443,4780,0,4231,0
80000,2,2,2,34,0,0,0,0,0,0,66122,92131,105534,104943,44332,45440,2600,4090,2000,2000,2000,4247,0
200000,2,2,1,49,1,-2,-1,-1,-1,-1,99796,0,2317,7588,7606,92490,0,2317,4424,7614,14053,0,0
203161,2,2,1,41,-1,-1,-1,-1,-1,0,2468,1077,1140,0,43604,7696,3886,4067,0,4789,800,4259,0
202688,2,1,1,34,2,0,0,0,0,0,99576,85389,86287,65287,35345,9360,5000,4086,2000,3000,3924,4236,0
50000,1,2,2,24,0,0,0,0,0,0,23553,21507,105586,7655,43603,8248,3871,2000,500,4788,500,1000,0
20000,2,1,2,34,0,-1,-1,0,0,0,4541,0,724,18589,18985,92676,0,4116,18589,1000,1000,4235,1
202967,1,1,2,34,-2,-2,-2,0,0,0,6015,8751,686,105016,161089,119339,8797,691,4445,1009,3923,4221,0
20000,2,2,2,23,0,0,0,0,0,0,99782,13324,14029,14308,43325,18245,1528,1233,512,547,3880,4226,1
200000,2,1,1,47,-1,-1,-1,-1,-1,-1,935,1418,-2,120,150,92691,1418,0,4474,300,928,464,1
202408,2,2,1,29,0,0,0,0,0,0,118008,131776,113939,111079,43455,105377,5614,5600,4434,4777,5000,6000,0
20000,2,1,2,40,0,0,0,0,0,0,13639,14711,105597,16004,43621,16916,1600,1300,800,605,3939,4221,0
203174,2,1,2,25,1,2,0,0,0,0,41402,41742,42758,104997,43293,92658,1300,4089,1762,1762,3945,1622,0
180000,1,3,2,29,-2,0,-2,-2,-2,-1,4358,131921,2611,8710,43265,8758,3861,2618,8736,5142,8766,15040,0
400000,1,2,2,49,0,0,0,0,0,0,99701,0,0,104998,43635,92809,0,0,0,1757,3891,4282,0
20000,2,1,2,24,0,0,0,0,0,0,99667,19388,105891,17331,12822,92727,2000,1300,390,388,10000,400,1
90000,2,2,2,50,0,0,0,2,0,0,43439,44512,47677,46615,43286,48616,2100,4200,4486,2000,2000,2000,0
80000,1,1,2,29,0,0,0,0,0,0,99695,131153,64277,105006,42231,42804,3889,2500,1556,4776,1600,1600,0
140000,1,2,2,34,0,0,2,0,2,2,99755,131628,105724,144035,140419,130271,17000,0,11400,4787,5300,5400,1
202776,2,1,2,32,0,0,0,0,0,0,202506,131566,105958,282518,248238,210267,3879,80004,68410,4784,3892,5437,0
50000,2,2,1,34,0,0,0,0,0,0,99895,29179,26482,16770,15529,92793,1556,4131,1770,700,1000,1129,0
150000,2,2,2,34,0,0,0,0,0,0,99771,7985,7315,11295,10413,16745,2200,2500,6023,4788,6745,4211,0
190000,1,1,2,31,0,0,0,2,2,0,99699,106773,114791,106414,43159,92664,4000,9844,4437,24,3297,3325,0
60000,2,2,2,34,0,0,0,0,0,2,27892,29438,32620,33274,35732,35008,2000,4000,1197,3000,0,1400,0
360000,2,2,2,33,-1,-1,0,0,0,0,3231,9523,11357,12123,44024,9567,9666,2000,1000,4793,0,4248,0
390000,2,2,2,33,0,0,0,0,0,0,99659,144656,105584,99008,43671,71935,100000,6000,3704,2741,3314,2556,0
203165,2,2,2,25,0,0,0,0,0,0,99795,28139,27480,105016,27215,27977,1750,4107,1800,1000,1200,4259,1
203095,2,1,2,29,0,-1,-1,0,-1,0,3945,5795,10863,1601,1126,92528,3912,4077,4435,1126,4802,9751,0
202748,2,1,2,33,-2,0,0,-2,0,-2,9099,3771,664,0,641,92616,3896,4045,4423,641,3916,1847,0
330000,2,1,1,36,1,-2,-2,0,-1,0,0,131567,105685,1983,0,207,0,4111,4482,0,3911,49974,0
60000,2,2,2,35,0,2,0,2,2,3,5601,5366,6772,6515,43277,7487,3890,1500,4490,4778,3924,0,0
202553,2,2,1,37,-1,-1,-1,-1,0,0,99858,2217,105704,9272,43355,1498,2217,4111,9272,2718,1498,1138,0
30000,2,3,2,34,-2,-2,-2,-2,0,-2,99755,0,0,0,300,390,0,4072,0,300,390,4224,0
80000,2,2,1,34,0,0,0,0,0,0,48747,45955,44989,41358,42379,92760,2145,1844,2009,5017,2000,5002,0
80000,2,2,2,53,0,0,0,0,0,0,80577,131659,78363,105050,49996,92790,3888,4146,1630,1759,0,52085,0
290000,2,2,1,39,0,0,0,0,0,0,212943,216910,213931,212770,211098,92711,3903,7714,7283,7407,10000,4231,0
240000,1,2,1,36,0,0,0,0,2,2,14559,15513,17242,18450,18013,92708,1500,2000,4470,4781,3930,700,0
202590,2,2,2,34,0,0,0,4,3,2,14034,15296,106048,105003,18835,18395,3922,5000,4449,0,0,3000,1
202636,2,2,2,24,0,2,-1,0,0,-1,2227,316,105352,316,43259,92694,0,4089,0,4783,632,0,0
50000,1,2,1,34,1,2,2,2,0,0,99828,131662,50175,105048,43502,17305,0,3056,4475,2000,3922,3000,1
20000,1,2,1,48,0,0,0,0,0,0,99726,19784,20650,0,0,92894,2000,4149,0,4790,0,0,0
720000,2,2,2,34,0,0,0,0,0,0,125529,112933,105582,104980,83504,79411,8019,4098,4442,4786,2591,10081,0
202884,2,1,2,33,0,0,0,0,0,0,31808,131693,105738,21055,43504,7323,3897,4114,4470,3046,2011,142,0
160000,2,2,1,40,-1,-1,-1,-1,0,-1,671,671,671,671,43675,92657,671,671,671,671,1492,0,0
202482,1,1,2,32,0,0,2,0,0,0,5484,131523,105376,3440,3341,3228,3882,4154,200,1000,1000,1000,0
202831,2,3,2,28,0,0,0,0,0,0,1830,4777,7681,12519,15299,15905,3888,3000,5000,3000,1000,4236,0
203286,1,2,2,34,1,0,2,0,0,0,99690,17382,104966,104957,20314,19704,1500,0,1700,2700,0,600,1
20000,2,2,2,24,0,-1,-1,-1,-1,0,99738,390,0,105005,0,780,3915,0,780,4787,780,0,0
140000,1,2,2,34,0,-1,0,-1,0,0,0,850,105879,66397,43886,92817,850,4124,66397,2038,2000,15000,0
140000,2,2,2,27,-1,-1,-1,-1,0,-1,1186,131561,390,390,6580,0,4000,390,390,6580,0,780,0
400000,2,2,2,41,-2,-2,-2,-2,0,-2,43672,678,330,330,330,330,678,4060,330,330,330,330,1
50000,1,3,1,34,0,0,-2,-2,-2,0,99697,0,105900,0,0,92838,0,4167,0,0,0,4231,1
210000,2,2,2,30,0,0,0,2,0,2,99803,47107,50999,105043,43950,54404,2150,5000,2020,0,3948,4241,0
50000,1,1,2,23,-1,-1,0,-1,-1,-1,980,3413,1068,1386,2800,3696,3904,11000,2000,2000,6396,4217,0
202740,1,2,2,49,0,0,0,0,0,0,82214,74983,105145,68808,68769,68955,2659,2656,2372,2360,3913,2759,0
160000,2,2,2,27,1,2,0,0,0,0,80166,34775,34073,15676,99436,90927,0,4079,1800,90000,3300,3400,1
20000,2,2,2,25,1,2,0,0,0,0,99742,130998,18437,104982,19696,92728,0,4080,1200,1000,3963,4225,0
70000,2,1,1,34,0,0,0,0,0,2,40466,41805,42520,104949,46664,47341,3923,4090,1567,4791,1600,2000,1
500000,2,1,1,49,0,0,0,0,0,0,435737,421983,414453,422168,423674,92931,20157,4101,13596,14454,33720,12284,0
