LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
400000,1,1,1,30,-2,-2,-2,-2,-2,-2,77,428,41,0,0,0,0,2,0,0,0,191,0
80000,1,2,2,34,0,0,0,0,0,0,66122,92131,46864,43182,44332,102355,2600,2033,2000,2745,2000,2037,0
200000,2,3,1,49,1,-2,-1,-1,-1,-1,0,0,2317,58150,7606,14053,16,2317,2795,16725,6812,0,0
20000,2,2,1,41,-1,-1,-1,-1,-1,-1,3317,1077,1140,0,7014,7696,1087,2034,0,7014,800,0,0
70000,2,1,1,36,2,0,0,0,0,0,81719,85389,86287,64001,35345,101531,5000,3000,2790,2745,5000,0,0
83024,1,2,2,24,0,0,0,0,0,0,23553,19373,18176,10804,7881,8248,1700,2032,451,500,500,2038,0
28152,2,1,2,25,-1,-1,-1,-1,0,0,4541,0,4445,18589,18985,19531,0,724,18589,1000,886,1000,1
350000,1,1,2,33,-2,-2,-2,-1,0,0,6015,8751,686,430667,161089,119339,8797,691,238241,1009,596,32139,0
23937,2,2,2,23,2,0,0,0,0,0,11995,13324,18176,10895,14625,18245,1137,1233,512,1396,3880,0,1
200000,2,1,1,47,-1,-1,-1,-1,-1,-1,935,1418,-2,438,150,928,1136,0,122,428,31,464,1
100000,2,2,1,29,0,0,0,0,0,0,118008,116686,113939,111079,107257,105377,5614,5600,5500,16674,6790,6000,0
20000,1,1,2,40,0,0,0,0,0,0,13639,19372,15462,16004,16203,16916,21731,1300,800,605,1059,2038,0
180000,2,1,2,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,102432,1136,2010,1762,2747,1790,1622,0
339170,1,3,2,29,-2,-2,-2,-2,-2,-2,3303,3160,2611,8710,5127,8758,3169,2047,8736,5142,6764,15040,0
90467,1,3,2,45,0,0,-2,-2,-1,0,36560,0,0,0,15119,18393,1080,0,0,1757,897,10158,0
20000,1,1,2,24,2,0,0,0,0,0,17781,19423,19933,17331,12822,19924,2000,1300,338,1111,10000,193,1
83025,2,2,1,50,0,0,0,2,0,0,43439,44512,47677,46615,47537,102412,2100,4200,0,2731,2000,2000,0
80000,1,1,2,29,0,0,0,0,0,0,73722,75323,64277,45455,42231,42804,3300,2500,1556,1600,1600,1600,0
140000,1,2,2,30,0,0,2,2,2,2,131367,146193,144430,144035,140419,130271,17000,4,9783,550,5300,5400,1
339528,2,1,2,32,0,0,0,0,0,0,202506,197855,239059,282518,248238,102433,10547,80004,68410,7767,6308,32391,0
50000,2,2,1,56,0,0,0,0,0,0,31276,19369,25920,16770,15529,16266,1556,1247,1770,700,1000,2038,0
150000,2,3,2,26,0,0,0,0,0,0,21081,7985,7315,11295,10413,16745,2200,2056,6023,5000,6745,2038,0
183090,1,1,2,30,0,0,0,2,2,0,104503,106773,144335,106414,96980,90700,2850,9844,3283,2988,3297,3325,0
60000,2,2,1,35,0,0,0,0,0,2,27892,19611,30528,33274,37922,35008,2829,4000,1197,3000,0,1400,0
