LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
400000,1,1,1,34,0,0,-2,-2,-2,0,18334,0,25136,0,0,0,2186,4924,0,0,0,0,0
80000,1,2,2,34,0,0,0,0,0,0,66122,92131,47655,43182,44332,28496,2600,4300,1744,2000,2000,2000,0
134462,2,3,1,49,1,-2,-1,-1,-1,-1,17832,0,25342,65616,7606,28471,0,4940,1742,7614,14053,0,0
134945,2,2,1,41,0,-1,-1,-1,0,-1,2468,1077,1140,65040,7014,7696,1087,1140,0,7014,800,0,0
70000,2,1,1,36,0,0,0,0,0,0,81719,85389,86287,65287,35345,9360,5000,3000,2000,3140,5000,0,0
50000,1,2,2,24,0,0,0,0,0,0,17985,52184,17827,7655,7881,28550,1700,4964,1749,500,500,1000,0
20000,2,2,1,25,0,0,0,0,0,0,18489,52795,724,66549,18985,19531,2183,724,18589,1000,1831,1000,1
350000,1,2,1,33,-2,-2,-2,-1,0,0,18265,51945,686,430667,161089,119339,8797,691,1744,1009,596,3939,0
134951,2,2,2,23,2,0,0,0,0,0,11995,52773,25483,14308,14625,18245,2187,1233,512,547,1828,0,1
200000,2,2,1,47,0,-1,0,-1,-1,-1,935,1418,25478,120,150,28549,2185,0,122,3159,1834,3937,1
100000,1,2,1,29,0,0,0,0,0,0,118008,116686,113939,66998,23775,105377,5614,5600,1736,4500,5000,3940,0
135310,1,1,2,40,0,0,0,0,0,0,13639,14711,15462,16004,16203,16916,1600,4932,1744,3138,1827,2000,0
180000,1,1,2,25,1,2,0,0,0,0,41402,41742,42758,66657,44420,45319,2186,2010,1762,1762,1790,1622,0
180000,1,3,1,29,-2,-2,-2,0,0,0,4358,3160,2611,66775,23792,8758,2187,2618,8736,5142,1825,15040,0
400000,1,3,2,45,0,0,-2,0,0,0,36560,52497,0,65889,23758,28529,2185,4971,1742,3149,20000,10158,0
20000,1,1,1,24,2,0,0,0,0,0,17781,52965,19933,66209,12822,19924,2000,4929,390,388,1826,400,1
90000,1,2,1,50,0,0,0,2,0,0,43439,44512,47677,46615,47537,48616,2185,4200,0,2000,2000,2000,0
80000,1,1,2,29,0,0,0,0,0,0,73722,75323,64277,45455,23754,42804,3300,2500,1556,3183,1835,1600,0
140000,1,2,2,26,0,0,2,2,2,2,18391,146193,140202,144035,140419,28602,17000,0,11400,550,5300,5400,1
135358,2,1,2,32,0,0,0,0,0,0,202506,52636,239059,65813,248238,210267,10547,80004,68410,7767,6308,5437,0
50000,2,2,1,56,0,0,0,0,0,0,31276,29179,26482,65943,15529,16266,1556,1247,1770,700,1823,1129,0
150000,1,3,1,26,0,0,0,0,0,0,21081,7985,7315,11295,10413,16745,2200,4922,6023,5000,6745,3927,0
135007,1,1,2,31,0,0,0,2,2,0,104503,51910,25444,106414,23853,90700,4000,4936,3283,3154,3297,3927,0
60000,2,2,1,46,0,0,0,0,0,2,18447,29438,32620,33274,35732,28580,2185,4000,1197,3000,1833,1400,0
