LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
400000,1,1,1,34,-2,-2,-2,-2,-2,-2,131,0,-3,0,0,0,4,2,0,0,0,0,0
80000,1,2,2,34,0,0,0,0,0,0,66122,92131,47655,43182,44332,32458,2600,4300,1336,2000,2000,2000,0
235363,2,3,1,49,1,-2,-1,-1,-1,-1,6321,0,2477,5210,7606,10693,0,2047,7497,7614,14053,0,0
23696,2,2,1,41,-1,-1,-1,-1,-1,-1,2468,1077,1140,342,7014,7696,1087,1140,0,7014,800,0,0
70000,2,1,1,36,2,0,0,0,0,0,81719,85389,86287,65287,35345,9360,5000,3000,2000,6010,5000,0,0
50000,1,2,2,24,0,0,0,0,0,0,17889,28777,17827,7655,7881,9895,1700,2129,1339,500,500,1000,0
20000,2,3,2,25,0,0,0,0,0,0,10118,28811,724,16364,18985,19531,9318,724,18589,1000,811,1000,1
350000,1,1,2,33,-2,-2,-2,-1,0,0,1307,383,686,430667,161089,119339,8797,691,51674,1009,596,32457,0
23738,2,2,2,23,2,0,0,0,0,0,11995,23037,16385,14308,14625,18245,2085,1233,512,547,2732,0,1
200000,2,1,1,47,-1,-1,-1,-1,-1,-1,935,1418,-4,120,150,934,2085,0,122,433,867,168,1
100000,2,2,1,29,0,0,0,0,0,0,118008,116686,113939,106934,160125,105377,5614,5600,7501,4500,5000,4723,0
25327,1,1,2,40,0,0,0,0,0,0,13639,14711,15462,16004,16203,16916,1600,2069,1336,404,867,2000,0
180000,2,1,2,25,1,2,0,0,0,0,41402,41742,42758,68640,44420,45319,2085,2010,1762,1762,1790,1622,0
180000,2,3,2,29,-2,-2,-2,-2,-2,-2,4358,3160,2611,10726,6053,8758,2093,2618,8736,5142,8775,15040,0
400000,1,3,2,30,0,0,-2,0,-1,0,36560,28521,0,15473,1353,31020,2159,261,1532,750,20000,10158,0
20000,1,1,2,24,2,0,0,0,0,0,17781,28736,19933,18099,12822,19924,2000,2048,390,388,9681,400,1
90000,2,2,1,50,0,0,0,2,0,0,43439,44512,47677,46615,47537,48616,2108,4200,0,2000,2000,2000,0
80000,1,1,2,29,0,0,0,0,0,0,73722,75323,64277,45455,25297,42804,3300,2500,1556,1221,867,1600,0
140000,1,2,2,26,0,0,2,2,2,2,57547,146193,140202,144035,140419,126200,17000,0,11400,550,5300,5400,1
235407,2,1,2,32,0,0,0,0,0,0,202506,126822,239059,106935,248238,210267,10547,80004,68410,7767,6308,5437,0
50000,2,2,1,56,0,0,0,0,0,0,31276,29179,26482,18194,15529,16266,1556,1247,1770,700,867,1129,0
150000,2,3,2,26,0,0,0,0,0,-1,21081,7985,7315,11295,10413,16745,2200,2069,6023,5000,6745,2421,0
235408,1,1,2,31,0,0,0,2,2,0,104503,124587,99163,106414,137630,90700,4000,7474,3283,18,3297,4723,0
60000,2,2,1,39,0,0,0,0,0,2,17889,29438,32620,33274,35732,32455,5365,4000,1197,3000,25,1400,0
235408,2,2,2,33,-1,-1,0,0,0,0,3231,28730,16385,12123,9743,9893,9195,2081,1403,6010,55,153,0
