LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
117630,1,1,1,34,-2,-2,-2,-2,-2,-2,480,0,0,437,0,139,0,0,0,1,23,0,0
80000,1,2,2,30,0,0,0,0,0,0,66122,101305,114120,80554,44332,45440,2600,5920,2000,2000,2000,2641,0
235303,2,3,1,49,1,-2,-1,-1,0,-1,24222,16678,2317,9255,20065,14053,0,7050,10625,7614,14053,196,0
20000,2,2,1,39,-1,-1,-1,-1,-1,-1,1874,1077,1432,1600,7014,140,1087,1140,995,7014,800,192,0
70000,2,1,2,36,2,0,0,0,0,0,81719,85389,95364,65287,64520,9609,5000,2137,2741,4804,5000,0,0
82783,1,2,2,33,0,0,0,0,0,0,24252,21507,17827,7655,7881,8248,1700,2000,947,968,500,1000,0
20000,2,1,2,25,-1,-1,-1,-1,0,0,4541,0,332,18805,18985,19531,0,724,18589,1000,1000,1000,1
235249,1,1,2,33,-2,-2,-2,-2,0,0,6015,8751,686,430667,113208,119339,8547,2475,238241,2489,596,10356,0
23827,2,2,2,23,2,0,0,0,0,0,11995,13324,14029,14308,14625,17729,1528,1867,512,812,2028,191,1
200000,2,1,1,50,-1,-1,-1,-1,-1,-1,935,1418,-2,17082,150,928,1418,0,122,984,949,464,1
100000,2,2,1,30,0,0,0,0,0,0,118008,116686,113939,111079,107257,105377,9749,5600,5500,4500,5000,6000,0
20000,1,1,2,40,0,0,0,0,0,0,13639,18741,15462,16004,18225,16916,1600,1893,941,605,944,1309,0
180000,2,1,2,25,1,2,0,0,0,0,41402,105206,33693,43510,44420,47580,2,2010,1762,983,1790,1622,0
180000,1,3,2,40,-2,-2,-2,-2,-2,-1,4358,3710,2611,10413,5127,98039,3169,2618,8736,5142,39192,15040,0
400000,1,3,2,52,0,0,-2,-2,-1,0,36560,0,0,794,1757,8618,777,0,9,1757,20000,4400,0
23962,1,1,2,24,2,0,0,0,0,0,17781,14521,33477,17331,12822,25874,2000,1300,390,388,10000,400,1
90000,2,2,1,50,0,0,0,2,0,0,24253,44512,47677,46615,113035,48616,2100,4200,0,2000,4293,2000,0
82747,1,1,2,29,0,0,0,0,0,0,73722,75323,64277,45455,31352,42804,2882,2500,1556,1600,939,1600,0
140000,1,2,2,26,0,0,2,2,2,2,98209,146193,140202,144035,140419,130271,17000,0,2745,973,4657,5400,1
280000,2,1,2,30,0,0,0,0,0,0,202506,105179,239059,282518,113190,129513,9739,80004,68410,6147,6308,5759,0
50000,2,2,1,56,0,0,0,0,0,0,24252,29179,33462,16770,17978,16266,1556,1247,1770,700,942,1129,0
235248,2,3,2,30,0,0,0,0,0,0,21081,105162,7315,11295,10413,16745,2200,6676,2748,6016,6745,2155,0
234939,1,1,2,30,0,0,0,2,2,0,104503,106773,144719,106414,96980,90700,4000,9844,2749,1624,3297,3325,0
60000,2,2,1,35,0,0,0,0,0,2,24269,18743,34096,33274,35732,35008,2000,4000,1197,3000,0,1348,0
360000,2,2,2,33,-1,-1,0,0,0,0,24233,9523,11357,12123,9531,9620,9725,2000,1000,4729,0,536,0
390000,2,2,2,33,0,0,0,0,0,0,24251,144656,148366,99008,69990,71935,100000,6000,3704,2741,4655,2642,0
35497,2,2,2,25,0,0,0,0,0,0,28494,28139,27480,26960,31359,23884,1750,1804,1800,1000,1200,1500,1
448975,2,1,2,30,-1,0,-1,0,-1,-1,3945,5795,32238,1601,1126,4802,5894,1961,2719,1126,4802,9751,0
235240,2,1,2,33,-2,-2,-2,-2,-2,-2,24257,3771,664,440,2010,5506,3775,664,0,641,4530,1847,0
330000,2,1,1,36,1,-2,-2,-1,-1,-1,140,0,0,35025,1643,78121,6,0,1983,0,207,49974,0
60000,2,2,1,35,1,2,2,2,2,2,5601,5366,6772,6515,5595,7487,0,1500,0,4803,3,250,0
480000,2,2,2,39,-1,-1,-1,-1,-1,-1,5269,2217,9731,9272,2718,1498,2217,9731,10728,6233,39998,5578,0
30000,2,3,2,30,-2,-2,-2,-2,-2,-2,209,0,0,507,300,390,0,0,13,23,5,930,0
80000,1,2,1,32,0,0,0,0,0,0,24272,45955,44989,41358,42379,38052,2145,1844,2749,6147,2000,5002,0
80000,1,2,2,47,0,0,0,0,0,0,80577,78781,78363,48902,49996,-1719,3261,1869,1488,970,0,52085,0
235255,2,2,1,39,0,0,0,0,0,0,212943,105176,213931,212770,211098,129661,16923,7119,10864,6143,10000,6000,0
240000,1,1,1,39,0,0,0,0,2,2,14559,15513,33393,18450,18013,19406,1500,2000,1500,0,1700,700,0
20000,2,1,2,54,0,0,0,0,3,2,14034,25846,34015,19435,18835,23820,1500,5000,0,0,0,3000,1
223017,2,2,2,24,-1,2,-1,2,-1,-1,35547,135,632,316,316,632,0,632,0,316,9,0,0
122128,1,3,1,44,1,2,2,2,0,0,49615,48552,50175,12790,12009,17692,0,3056,42,2000,5000,3000,1
38090,1,2,1,48,0,0,0,0,-2,-2,18401,19784,20650,0,0,0,2837,1650,0,0,15,0,0
720000,2,1,1,44,0,0,0,0,0,0,98216,112933,105582,104501,112857,129658,8019,8043,10092,3020,2591,10081,0
300000,1,1,2,33,0,0,0,0,0,0,24319,18697,22396,21055,14714,7323,1514,1216,3127,3046,2011,142,0
160000,2,2,1,40,-1,-1,-1,-1,-1,-1,671,671,216,463,671,1492,1132,1869,671,671,1492,0,0
190000,1,1,2,32,0,0,2,0,0,0,5484,6192,5256,3440,3341,5682,2450,0,200,1000,1000,1022,0
340000,2,2,2,28,0,0,0,0,0,0,24272,4777,7681,12519,15299,15905,3000,3000,5000,3000,1000,10000,0
20000,1,2,2,34,1,2,2,0,0,3,16456,17382,16814,18229,20314,19704,1500,3,1700,2700,0,600,1
20000,1,2,2,24,0,-1,-1,-1,-1,-1,2522,390,0,780,0,161,1131,13,780,0,780,0,0
140000,1,2,2,25,1,-1,-1,-1,0,0,130,3746,2620,66397,68633,128115,850,2620,55906,2038,1657,15000,0
140000,2,2,2,27,-1,-1,-1,-1,-1,-1,1186,3715,390,496,6580,0,2836,390,941,6580,389,190,0
400000,2,2,2,41,-2,-2,-2,-2,-2,-2,43672,678,330,330,330,33377,1130,330,954,330,330,330,1
82742,1,3,1,55,0,0,-2,-2,-2,-2,30900,61,168,475,0,153,117,1,0,0,0,0,1
210000,2,2,2,30,0,0,0,2,2,2,45998,47107,50999,51884,112764,68152,9792,5000,2749,0,4500,2000,0
50000,2,1,1,23,-1,-1,-1,-1,-1,-1,980,3706,1068,1386,2800,3696,3500,11000,119,3296,6396,1971,0
100000,1,3,1,49,0,0,0,0,0,0,82214,74983,71958,80546,68769,68955,2836,2656,2743,2360,2574,2759,0
160000,1,3,2,27,1,2,-1,0,0,0,80166,34775,34073,15676,99436,90927,3,142848,2443,4156,3300,2613,1
20000,1,2,2,25,1,2,0,0,0,0,19099,23484,18437,19267,19696,16876,0,1872,1017,1000,5000,1500,0
70000,2,1,1,42,0,0,0,0,0,2,40466,41805,33597,80492,113013,47341,1994,1709,2748,6146,1600,2000,1
460502,2,1,1,50,0,0,0,0,0,0,435737,421983,414453,264195,423674,413326,9748,13670,10856,14454,33720,35024,0
130000,2,2,2,25,-1,-1,-1,-1,-1,-1,932,4096,776,424,776,776,1583,1871,986,776,776,12184,1
82741,2,1,2,31,-2,-2,-2,-2,-2,-2,0,0,0,960,960,30684,0,11,960,0,1185,196,0
82757,2,2,1,34,0,0,0,0,-2,-2,41379,24462,34117,0,7,145,3057,3271,0,0,0,191,0
30000,2,1,2,24,4,-1,-1,0,0,0,3746,1479,18860,950,5660,0,1138,18881,0,4710,0,954,0
235257,2,2,2,31,-2,-2,-2,-2,-2,-2,0,62,0,0,0,200,0,0,22,0,1,0,0
230000,2,2,2,24,0,0,0,0,0,0,69158,73712,68831,80457,25914,39658,8149,2214,5904,5542,15502,5744,0
20000,1,2,1,39,0,0,0,-1,0,0,19363,19609,-391,19413,10174,2110,1200,1871,946,347,946,12996,0
400000,2,3,1,37,0,0,0,0,0,0,76917,104091,81864,83747,85487,129700,2837,4000,3000,3000,4000,5736,0
60000,2,2,2,22,0,0,0,0,2,2,60434,101415,56585,31648,29002,30274,2837,3085,3623,964,3158,0,0
82850,1,1,2,30,0,0,0,0,0,0,43226,19278,34100,19369,20094,18203,1300,1300,1300,1000,948,1000,0
360000,1,3,2,33,-2,-2,-2,-2,-2,-2,0,86,0,581,0,780,0,0,0,0,4,0,0
20000,1,1,2,27,0,0,0,0,-1,-1,14088,8842,5147,2946,1186,416,1129,1009,7,1190,946,831,0
20000,1,2,1,39,0,0,0,2,0,0,10934,13738,16567,10411,13057,14340,2865,3100,0,3000,1500,190,0
210000,2,2,1,44,0,0,0,0,0,0,98193,75456,86171,80557,89022,90868,2835,13000,2748,6147,3312,3151,0
82747,1,2,2,30,0,0,0,0,0,0,113650,105592,105428,80557,144089,74115,2836,6025,3069,3001,4656,3112,0
100000,2,1,2,29,3,2,0,0,2,0,87791,85548,142834,50605,113218,123255,0,2500,5864,0,2000,2641,1
23829,1,2,2,25,0,0,0,0,0,0,7653,8864,10062,11581,12580,13716,1500,1500,2000,1500,1500,1500,1
200000,1,2,2,37,-2,-2,-2,-2,-2,-2,131,3649,0,495,0,0,536,8,495,0,6,546,0
40000,1,1,2,30,0,0,0,0,0,0,33077,34055,32644,29645,22930,0,1554,3071,1384,1209,2,0,0
235257,2,2,1,33,0,0,2,-1,0,0,24487,12872,3724,80554,14788,21258,7000,71,54729,8000,10000,6000,0
110000,1,3,2,49,0,0,0,0,0,0,98260,98988,110399,48532,44703,47869,4915,4379,12466,5000,5307,5000,0
20000,2,2,2,23,0,0,2,0,0,0,18355,20259,19534,19687,15746,13246,2900,25,577,430,1017,4,0
55243,2,1,1,26,2,2,0,0,0,0,24080,23244,34129,25871,31347,26724,0,2000,2745,971,939,1045,1
400000,2,1,1,50,-1,2,2,-1,-1,0,1908,1442,8162,-1010,3355,140,0,8513,263,4903,313,4816,0
235657,2,1,1,35,0,0,0,0,0,0,96911,101566,93234,67991,9398,18657,5000,7674,5073,2000,2500,5000,0
235257,1,3,2,34,0,0,0,0,0,0,304883,105107,258122,255309,233946,129700,15000,9221,9225,6137,4669,9000,0
50000,1,1,2,25,0,0,0,0,0,2,19456,20486,21241,21788,31350,24189,1645,1880,1736,2000,1,1000,0
176474,1,2,2,28,0,0,0,0,0,0,22872,23309,24612,25400,26333,27887,1700,2000,1500,968,4656,1567,0
82710,1,2,2,32,0,0,0,2,2,2,34904,37007,31048,41105,44090,48914,3000,6000,0,4000,5700,1158,1
237981,1,2,2,35,0,0,0,-1,-1,-1,4301,8246,12865,422,1095,1393,8449,5064,821,969,939,1818,1
70000,2,1,1,30,1,2,2,2,2,2,52204,53250,53799,52330,113065,56839,2500,1945,0,6124,4794,201,1
300000,2,2,1,29,0,0,0,0,0,0,355674,105167,313600,263746,113120,301693,11369,11380,11216,11069,11090,10028,1
160000,2,1,1,25,-1,0,-1,-1,-1,0,6087,1934,11376,2199,13243,0,1000,11426,2199,10000,0,35243,0
30000,2,1,2,28,2,2,4,4,4,4,37,65,250,37,37,37,0,0,0,0,0,205,0
180000,1,1,1,28,0,-1,-1,0,-1,-1,9796,4407,45220,11362,6627,7465,2778,6856,3300,6147,3781,0,0
30000,2,2,1,50,0,0,0,0,0,0,26891,28151,28827,29412,31359,27116,2000,1500,1000,1000,939,1000,0
320000,1,1,1,50,-2,-2,-2,0,-2,-2,24251,-4,816,30026,49154,1299,0,824,31144,25664,2610,1833,0
82739,1,4,2,30,0,0,0,-2,-2,-2,24278,13943,0,0,0,0,5009,2,1,5,0,0,0
420000,1,1,2,33,-1,-2,2,-2,-2,-2,25162,9771,129,24683,23702,21225,0,20,24683,752,34067,1483,0
82726,1,2,1,27,0,0,0,0,0,0,70482,105103,64926,59949,54029,47964,2580,2337,1634,1606,939,620,0
70000,1,3,2,26,0,0,2,0,0,0,95703,69272,62196,80435,48047,49110,9749,0,2315,1718,2000,2668,1
57267,2,2,1,24,0,0,0,0,0,0,24165,28980,29564,29710,29700,0,1800,1871,920,1102,4014,0,0
